candidate,feature_variant,alpha,ridge_weight,mae,n_features
blend_median_ridge__spc_last_missing,spc_last_missing,300.0,0.1,4.743265537224503,136
blend_median_ridge__spc_last_missing,spc_last_missing,300.0,0.15000000000000002,4.7439656336228815,136
blend_median_ridge__spc_last_missing,spc_last_missing,300.0,0.05,4.744866853117584,136
blend_median_ridge__spc_last_missing,spc_last_missing,300.0,0.2,4.745519307096236,136
blend_median_ridge__spc_last_missing,spc_last_missing,300.0,0.25,4.750699963417852,136
blend_median_ridge__last_delta_missing,last_delta_missing,1000.0,0.05,4.754325613610544,317
global_median,none,,0.0,4.754784918,0
blend_median_ridge__last_delta_missing,last_delta_missing,1000.0,0.1,4.756607595221089,317
blend_median_ridge__spc_last_missing,spc_last_missing,300.0,0.3,4.759331974633862,136
blend_median_ridge__last_delta_missing,last_delta_missing,1000.0,0.15000000000000002,4.762978825093739,317
blend_median_ridge__full_stats,full_stats,10000.0,0.05,4.764330977450421,1141
blend_median_ridge__spc_last_missing,spc_last_missing,300.0,0.35000000000000003,4.771895664698185,136
blend_median_ridge__last_delta_missing,last_delta_missing,1000.0,0.2,4.772419044020177,317
blend_median_ridge__full_stats,full_stats,10000.0,0.1,4.776618322900839,1141
blend_median_ridge__last_delta_missing,last_delta_missing,1000.0,0.25,4.783274785566888,317
blend_median_ridge__spc_last_missing,spc_last_missing,300.0,0.4,4.7870156739450636,136
blend_median_ridge__full_stats,full_stats,10000.0,0.15000000000000002,4.789579929615088,1141
blend_median_ridge__last_delta_missing,last_delta_missing,1000.0,0.3,4.794627292673522,317
blend_median_ridge__spc_last_missing,spc_last_missing,300.0,0.45,4.803686560056251,136
blend_median_ridge__full_stats,full_stats,10000.0,0.2,4.809100901320357,1141
blend_median_ridge__last_delta_missing,last_delta_missing,1000.0,0.35000000000000003,4.809237157724568,317
blend_median_ridge__spc_last_missing,spc_last_missing,300.0,0.5,4.820881868748329,136
blend_median_ridge__last_delta_missing,last_delta_missing,1000.0,0.4,4.824683943117921,317
blend_median_ridge__full_stats,full_stats,10000.0,0.25,4.83211976548378,1141
blend_median_ridge__last_delta_missing,last_delta_missing,1000.0,0.45,4.840363895743772,317
blend_median_ridge__full_stats,full_stats,10000.0,0.3,4.855138629647204,1141
blend_median_ridge__last_delta_missing,last_delta_missing,1000.0,0.5,4.856043848369623,317
blend_median_ridge__full_stats,full_stats,10000.0,0.35000000000000003,4.878157493810627,1141
blend_median_ridge__full_stats,full_stats,10000.0,0.4,4.901176357974049,1141
blend_median_ridge__full_stats,full_stats,10000.0,0.45,4.924473258281233,1141
blend_median_ridge__full_stats,full_stats,10000.0,0.5,4.9489102207901965,1141
ridge__spc_last_missing,spc_last_missing,300.0,1.0,5.089141855603954,136
ridge__last_delta_missing,last_delta_missing,1000.0,1.0,5.097517657593376,317
ridge__full_stats,full_stats,10000.0,1.0,5.25195247692293,1141
